,playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position,transferredSchools
0,Eric Paschall,2018-19,Villanova,Big East,36,36,36.1,5.4,12.1,.447,3.5,6.5,.532,1.9,5.6,.348,3.8,5.0,.746,1.3,4.9,6.1,2.1,0.7,0.5,2.3,2.1,16.5,,7.97,4,203,115,Forward,1
1,Josh Reaves,2018-19,Penn State,Big Ten,32,32,33.0,3.9,9.3,.426,2.5,5.1,.482,1.5,4.1,.356,1.3,1.9,.656,1.6,3.4,5.0,2.9,2.5,1.0,2.5,3.1,10.6,,11.51,4,196,97,Guard,0
2,Dedric Lawson,2018-19,Kansas,Big 12,36,36,32.6,6.9,14.1,.490,5.9,11.6,.511,1.0,2.5,.393,4.6,5.7,.815,3.1,7.2,10.3,1.7,1.3,1.1,2.3,2.6,19.4,,12.79,3,206,106,Guard-Forward,1
3,Donta Hall,2018-19,Alabama,SEC,34,34,26.8,3.9,6.4,.616,3.9,6.3,.614,0.0,0.0,1.000,2.6,3.6,.718,2.7,6.1,8.8,0.5,0.5,1.6,1.1,1.8,10.5,,9.01,4,206,104,Forward,0
4,Jordan Bone,2018-19,Tennessee,SEC,37,37,32.9,5.0,10.8,.465,3.7,7.0,.525,1.4,3.8,.355,2.1,2.5,.835,0.5,2.7,3.2,5.8,0.7,0.1,2.0,1.3,13.5,,10.16,3,190,81,Guard,0
5,James Palmer,2018-19,Nebraska,Big Ten,36,36,35.2,5.9,16.1,.369,4.1,10.1,.401,1.9,5.9,.313,6.0,7.8,.762,1.1,3.1,4.2,3.0,1.4,0.4,2.1,2.2,19.7,,11.31,4,198,93,Guard,1
6,Quinndary Weatherspoon,2018-19,Mississippi State,SEC,34,34,34.0,6.3,12.3,.508,4.6,8.2,.564,1.6,4.1,.396,4.4,5.4,.809,1.3,3.4,4.7,2.8,1.7,0.3,2.9,2.1,18.5,,9.07,4,193,92,Guard,0
7,Nickeil Alexander-Walker,2018-19,Virginia Tech,ACC,34,34,34.3,5.6,11.8,.474,3.9,7.2,.537,1.7,4.6,.374,3.3,4.2,.778,0.5,3.6,4.1,4.0,1.9,0.5,2.9,2.3,16.2,,7.79,2,196,92,Guard,0
8,Matisse Thybulle,2018-19,Washington,Pac-12,36,36,31.1,3.1,7.5,.415,1.8,3.3,.555,1.3,4.2,.305,1.6,1.9,.851,0.8,2.3,3.1,2.1,3.5,2.3,1.8,2.8,9.1,,7.01,4,196,88,Guard-Forward,0
9,Dean Wade,2018-19,Kansas State,Big 12,25,25,30.4,4.9,9.9,.492,4.0,7.7,.513,0.9,2.2,.418,2.2,2.8,.789,2.0,4.2,6.2,2.8,0.8,0.5,1.4,2.1,12.9,,9.18,4,208,103,Forward,0
10,RJ Barrett,2018-19,Duke,ACC,38,38,35.3,8.4,18.5,.454,6.5,12.2,.529,1.9,6.2,.308,3.9,5.9,.665,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,,11.97,1,201,91,Forward,0
11,Nassir Little,2018-19,UNC,ACC,36,0,18.2,3.6,7.6,.478,3.3,6.2,.527,0.4,1.4,.269,2.1,2.8,.770,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8,,11.35,1,198,99,Forward,0
12,Coby White,2018-19,UNC,ACC,35,35,28.5,5.4,12.7,.423,3.0,6.1,.500,2.3,6.6,.353,3.0,3.7,.800,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,,11.35,1,196,83,Guard,0
13,Talen Horton-Tucker,2018-19,Iowa State,Big 12,35,34,27.2,4.4,10.9,.406,3.0,6.4,.475,1.4,4.5,.308,1.6,2.5,.625,0.7,4.2,4.9,2.3,1.3,0.7,1.7,2.3,11.8,,9.30,1,193,105,Guard,0
14,Jaylen Nowell,2018-19,Washington,Pac-12,36,36,34.4,6.1,12.1,.502,4.6,8.8,.525,1.4,3.2,.440,2.6,3.4,.779,1.0,4.3,5.3,3.1,1.3,0.3,2.9,2.3,16.2,,7.01,2,193,90,Guard,0
15,Zach Hankins,2018-19,Xavier,Big East,35,22,21.8,4.6,6.7,.686,4.6,6.7,.689,0.0,0.0,.000,1.4,2.2,.615,2.2,3.1,5.3,1.1,0.4,1.5,1.0,1.9,10.6,,8.06,1,211,111,Forward,0
16,Kenny Wooten,2018-19,Oregon,Pac-12,34,27,24.0,2.5,4.3,.589,2.5,4.3,.593,0.0,0.0,.000,1.3,1.9,.672,1.4,3.4,4.8,0.6,0.4,2.2,1.4,2.6,6.3,,6.13,2,206,106,Forward,0
17,Grant Williams,2018-19,Tennessee,SEC,37,37,31.9,6.3,11.2,.564,5.9,10.0,.593,0.4,1.2,.326,5.8,7.0,.819,2.2,5.3,7.5,3.2,1.1,1.5,2.2,3.0,18.8,,10.16,3,201,107,Forward,0
18,PJ Washington,2018-19,Kentucky,SEC,35,33,29.3,5.4,10.4,.522,4.5,8.2,.549,0.9,2.2,.423,3.4,5.1,.663,2.3,5.2,7.5,1.8,0.8,1.2,2.0,2.5,15.2,,10.29,2,203,103,Forward,0
19,Jarrett Culver,2018-19,Texas Tech,Big 12,38,38,32.5,6.7,14.5,.461,5.4,10.3,.526,1.3,4.2,.304,3.9,5.5,.707,1.4,5.0,6.4,3.7,1.5,0.6,2.7,1.9,18.5,,9.53,2,196,88,Guard,0
20,Miye Oni,2018-19,Yale,Ivy,29,28,31.0,5.8,13.1,.441,3.8,7.9,.487,1.9,5.2,.371,3.7,4.7,.793,0.7,5.6,6.3,3.6,0.9,1.3,2.6,2.7,17.1,,-1.23,3,198,95,Guard,0
21,Max Strus,2018-19,DePaul,Big East,35,35,37.4,6.6,15.5,.429,3.4,6.6,.517,3.2,8.9,.363,3.7,4.3,.842,1.1,4.8,5.9,2.2,0.9,0.5,2.0,2.9,20.1,,4.05,2,198,97,Guard,0
22,Jarron Cumberland,2018-19,Cincinnati,AAC,35,35,32.5,5.9,14.6,.404,3.6,8.7,.415,2.3,5.9,.388,4.7,6.0,.773,1.1,3.3,4.4,3.6,1.1,0.4,2.7,2.3,18.8,,5.50,3,196,92,Guard,0
23,Tyler Cook,2018-19,Iowa,Big Ten,33,33,30.8,5.3,10.3,.510,5.3,10.2,.519,0.0,0.2,.000,3.9,6.1,.644,2.2,5.5,7.6,2.4,0.7,0.5,2.8,2.3,14.5,,9.84,3,206,113,Forward,0
24,Carsen Edwards,2018-19,Purdue,Big Ten,36,36,35.4,7.7,19.5,.394,3.9,9.0,.440,3.8,10.6,.355,5.1,6.1,.837,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2.0,24.3,,11.99,3,185,90,Guard,0
25,Ty Jerome,2018-19,Virginia,ACC,37,37,33.9,4.8,11.1,.435,2.7,5.7,.469,2.1,5.4,.399,1.8,2.5,.736,0.5,3.8,4.2,5.5,1.5,0.0,1.6,1.7,13.6,,10.15,3,196,88,Guard,0
26,Devon Dotson,2018-19,Kansas,Big 12,36,36,32.4,4.1,8.5,.482,3.2,5.9,.533,0.9,2.5,.363,3.2,4.1,.782,0.6,3.1,3.7,3.5,1.4,0.1,2.3,2.5,12.3,,12.79,1,188,83,Guard,0
27,Romeo Langford,2018-19,Indiana,Big Ten,32,32,34.1,5.5,12.3,.448,4.5,8.4,.530,1.1,3.9,.272,4.4,6.1,.722,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9,16.5,,10.10,1,198,97,Guard,0
28,Jarrey Foster,2018-19,SMU,AAC,16,14,23.1,2.3,6.6,.343,1.6,4.0,.391,0.7,2.6,.268,1.8,2.3,.757,1.6,2.0,3.6,1.5,0.4,0.5,1.4,2.3,6.9,,4.12,4,198,99,Guard,0
29,Kyle Guy,2018-19,Virginia,ACC,38,38,35.4,5.2,11.6,.449,2.1,4.2,.491,3.2,7.4,.426,1.8,2.2,.833,0.7,3.8,4.5,2.1,0.7,0.1,1.4,1.0,15.4,,10.15,3,188,79,Guard,0
30,CJ Massinburg,2018-19,Buffalo,MAC,35,34,32.1,5.7,12.3,.464,3.0,5.6,.541,2.7,6.7,.399,4.1,5.3,.780,2.2,4.3,6.5,3.0,1.2,0.3,1.3,1.7,18.2,,2.62,4,190,87,Guard,0
31,Aric Holman,2018-19,Mississippi State,SEC,34,20,24.4,3.4,7.2,.473,2.1,4.1,.507,1.3,3.1,.429,1.4,2.0,.701,2.1,4.0,6.2,1.2,0.9,1.6,1.5,1.8,9.5,,9.07,4,208,102,Forward,0
32,Jordan Poole,2018-19,Michigan,Big Ten,37,37,33.1,4.4,10.0,.436,2.3,4.5,.518,2.0,5.5,.369,2.0,2.4,.833,0.2,2.8,3.0,2.2,1.1,0.2,1.5,2.0,12.8,,10.55,2,196,88,Guard,0
33,Kaleb Wesson,2018-19,Ohio State,Big Ten,32,31,25.9,4.9,9.8,.500,4.1,7.4,.549,0.8,2.3,.347,4.1,5.5,.734,2.4,4.5,6.9,1.8,1.0,0.7,2.3,3.2,14.6,,11.00,2,206,122,Forward,0
34,Zion Williamson,2018-19,Duke,ACC,33,33,30.0,9.0,13.2,.680,8.2,11.0,.747,0.7,2.2,.338,3.9,6.2,.640,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,,11.97,1,201,129,Forward,0
35,Charles Bassey,2018-19,Western Kentucky,CUSA,34,34,31.4,5.5,8.8,.627,5.3,8.2,.639,0.3,0.6,.450,3.2,4.2,.769,2.9,7.1,10.0,0.7,0.8,2.4,2.9,2.6,14.6,,0.96,1,211,111,Center,0
36,Brandon Clarke,2018-19,Gonzaga,WCC,37,36,28.1,6.9,10.1,.687,6.8,9.7,.705,0.1,0.4,.267,2.9,4.2,.694,3.1,5.5,8.6,1.9,1.2,3.2,1.5,2.1,16.9,,5.01,3,203,97,Forward-Guard,1
37,Joe Wieskamp,2018-19,Iowa,Big Ten,35,35,27.7,3.6,7.3,.488,1.9,3.3,.564,1.7,4.0,.424,2.3,2.9,.767,1.4,3.5,4.9,1.1,0.9,0.5,1.1,1.9,11.1,,9.84,1,198,92,Guard,0
38,Louis King,2018-19,Oregon,Pac-12,31,28,30.4,4.8,11.0,.435,2.9,6.0,.476,1.9,4.9,.386,2.0,2.5,.785,1.3,4.2,5.5,1.3,0.9,0.2,2.1,2.5,13.5,,6.13,1,206,92,Forward,0
39,Justin Robinson,2010-11,Rider,MAAC,34,34,33.6,4.8,11.4,.425,2.2,5.3,.422,2.6,6.1,.427,2.9,3.2,.909,0.4,2.5,2.9,3.8,1.0,0.1,2.6,2.0,15.2,,-2.67,4,188,86,Guard,0
