,playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position,transferredSchools
0,Jerald Honeycutt\honeyje01,1996-97,Tulane,CUSA,31,,32.3,6.8,15.8,.432,4.6,9.3,.502,2.2,6.6,.333,4.1,5.7,.708,,,6.5,4.2,2.4,1.5,4.4,2.6,19.9,,3.00,4,206,111,Forward,0
1,Derek Grimm\grimmde01,1996-97,Missouri,Big 12,33,,28.0,3.9,7.9,.492,2.0,3.4,.593,1.8,4.5,.415,2.3,2.9,.794,,,4.9,1.3,0.8,0.3,,,11.9,,7.78,4,206,104,Forward,0
2,Tony Farmer\farmeto01,1990-91,Nebraska,Big 8,34,21,24.8,4.1,8.4,.481,3.9,7.6,.510,0.2,0.9,.233,4.0,5.8,.695,,,7.4,1.3,1.1,0.6,1.8,2.8,12.4,,9.49,3,206,110,Forward,1
3,Rex Walters\waltere01,1992-93,Kansas,Big 8,36,36,28.6,5.0,10.1,.490,2.7,4.8,.558,2.3,5.4,.430,3.1,3.5,.873,,,2.7,4.3,1.1,0.2,2.7,2.3,15.3,,10.88,4,193,86,Guard,1
4,Rex Chapman\chapmre01,1987-88,Kentucky,SEC,32,31,34.6,7.2,14.4,.501,5.2,9.4,.546,2.1,5.0,.415,2.5,3.2,.794,,,2.9,3.7,1.7,0.5,2.7,1.9,19.0,,8.87,2,193,83,Guard,0
5,Rik Smits\smitsri01,1987-88,Marist,ECACM,27,27,31.9,9.3,14.9,.623,9.3,14.9,.626,0.0,0.1,.000,6.1,8.4,.735,,,8.7,0.6,0.3,3.9,3.0,3.2,24.7,,-10.46,4,224,113,Center,0
6,Toby Bailey\baileto01,1997-98,UCLA,Pac-10,33,,,6.2,14.1,.443,4.8,9.7,.497,1.4,4.4,.324,4.0,5.4,.737,,,5.9,4.1,1.2,0.7,,,17.9,,11.01,4,198,96,Forward,0
7,Joe Stephens\stephjo01,1995-96,Little Rock,Sun Belt,30,30,33.4,4.8,10.3,.463,4.6,9.6,.474,0.2,0.7,.300,2.6,3.5,.745,,,7.1,1.1,1.2,0.4,1.6,2.0,12.4,,-1.03,4,201,95,Forward,1
8,James Blackwell\blackja01,1990-91,Dartmouth,Ivy,26,22,35.6,6.6,15.7,.419,5.8,12.4,.467,0.8,3.3,.235,5.4,7.0,.770,,,3.0,4.5,2.6,0.2,4.3,2.7,19.3,,-6.24,4,183,86,Guard,0
9,Dontonio Wingfield\wingfdo01,1993-94,Cincinnati,GMWC,29,,28.8,5.6,13.2,.422,4.1,9.5,.429,1.5,3.8,.404,3.3,5.0,.669,,,9.0,2.0,1.3,0.4,2.8,3.1,16.0,,6.18,1,203,116,Forward,0
10,Marty Conlon\conloma01,1989-90,Providence,Big East,29,,29.9,4.7,9.3,.502,4.2,7.7,.543,0.5,1.7,.313,4.8,6.4,.738,,,7.6,2.5,0.6,0.5,2.5,2.9,14.7,,7.05,4,208,101,Forward,0
