playerName,Season,School,Conf,position,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,spacer1,SOS,yearsInCollege,heightInCm,weightInKg,transferredSchools
Eric Paschall,2018-19,Villanova,Big East,Forward,36,36,36.1,5.4,12.1,0.447,3.5,6.5,0.532,1.9,5.6,0.348,3.8,5,0.746,1.3,4.9,6.1,2.1,0.7,0.5,2.3,2.1,16.5,,7.97,4,203,115,1
Josh Reaves,2018-19,Penn State,Big Ten,Guard,32,32,33,3.9,9.3,0.426,2.5,5.1,0.482,1.5,4.1,0.356,1.3,1.9,0.656,1.6,3.4,5,2.9,2.5,1,2.5,3.1,10.6,,11.51,4,196,97,0
Dedric Lawson,2018-19,Kansas,Big 12,Forward,36,36,32.6,6.9,14.1,0.49,5.9,11.6,0.511,1,2.5,0.393,4.6,5.7,0.815,3.1,7.2,10.3,1.7,1.3,1.1,2.3,2.6,19.4,,12.79,3,206,106,1
Donta Hall,2018-19,Alabama,SEC,Forward,34,34,26.8,3.9,6.4,0.616,3.9,6.3,0.614,0,0,1,2.6,3.6,0.718,2.7,6.1,8.8,0.5,0.5,1.6,1.1,1.8,10.5,,9.01,4,206,104,0
Jordan Bone,2018-19,Tennessee,SEC,Guard,37,37,32.9,5,10.8,0.465,3.7,7,0.525,1.4,3.8,0.355,2.1,2.5,0.835,0.5,2.7,3.2,5.8,0.7,0.1,2,1.3,13.5,,10.16,3,190,81,0
James Palmer,2018-19,Nebraska,Big Ten,Guard,36,36,35.2,5.9,16.1,0.369,4.1,10.1,0.401,1.9,5.9,0.313,6,7.8,0.762,1.1,3.1,4.2,3,1.4,0.4,2.1,2.2,19.7,,11.31,4,198,93,1
Quinndary Weatherspoon,2018-19,Mississippi State,SEC,Guard,34,34,34,6.3,12.3,0.508,4.6,8.2,0.564,1.6,4.1,0.396,4.4,5.4,0.809,1.3,3.4,4.7,2.8,1.7,0.3,2.9,2.1,18.5,,9.07,4,193,92,0
Nickeil Alexander-Walker,2018-19,Virginia Tech,ACC,Guard,34,34,34.3,5.6,11.8,0.474,3.9,7.2,0.537,1.7,4.6,0.374,3.3,4.2,0.778,0.5,3.6,4.1,4,1.9,0.5,2.9,2.3,16.2,,7.79,2,196,92,0
Matisse Thybulle,2018-19,Washington,Pac-12,Guard,36,36,31.1,3.1,7.5,0.415,1.8,3.3,0.555,1.3,4.2,0.305,1.6,1.9,0.851,0.8,2.3,3.1,2.1,3.5,2.3,1.8,2.8,9.1,,7.01,4,196,88,0
Dean Wade,2018-19,Kansas State,Big 12,Forward,25,25,30.4,4.9,9.9,0.492,4,7.7,0.513,0.9,2.2,0.418,2.2,2.8,0.789,2,4.2,6.2,2.8,0.8,0.5,1.4,2.1,12.9,,9.18,4,208,103,0
RJ Barrett,2018-19,Duke,ACC,Forward,38,38,35.3,8.4,18.5,0.454,6.5,12.2,0.529,1.9,6.2,0.308,3.9,5.9,0.665,1.6,6,7.6,4.3,0.9,0.4,3.2,1.8,22.6,,11.97,1,201,91,0
Nassir Little,2018-19,UNC,ACC,Forward,36,0,18.2,3.6,7.6,0.478,3.3,6.2,0.527,0.4,1.4,0.269,2.1,2.8,0.77,1.6,3,4.6,0.7,0.5,0.5,1.3,1.6,9.8,,11.35,1,198,99,0
Coby White,2018-19,UNC,ACC,Guard,35,35,28.5,5.4,12.7,0.423,3,6.1,0.5,2.3,6.6,0.353,3,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,,11.35,1,196,83,0
Talen Horton-Tucker,2018-19,Iowa State,Big 12,Guard,35,34,27.2,4.4,10.9,0.406,3,6.4,0.475,1.4,4.5,0.308,1.6,2.5,0.625,0.7,4.2,4.9,2.3,1.3,0.7,1.7,2.3,11.8,,9.3,1,193,105,0
Jaylen Nowell,2018-19,Washington,Pac-12,Guard,36,36,34.4,6.1,12.1,0.502,4.6,8.8,0.525,1.4,3.2,0.44,2.6,3.4,0.779,1,4.3,5.3,3.1,1.3,0.3,2.9,2.3,16.2,,7.01,2,193,90,0
Zach Hankins,2018-19,Xavier,Big East,Forward,35,22,21.8,4.6,6.7,0.686,4.6,6.7,0.689,0,0,0,1.4,2.2,0.615,2.2,3.1,5.3,1.1,0.4,1.5,1,1.9,10.6,,8.06,1,211,111,0
Kenny Wooten,2018-19,Oregon,Pac-12,Forward,34,27,24,2.5,4.3,0.589,2.5,4.3,0.593,0,0,0,1.3,1.9,0.672,1.4,3.4,4.8,0.6,0.4,2.2,1.4,2.6,6.3,,6.13,2,206,106,0
