,Player
0,Eric Paschall
1,Simisola Shittu
2,Josh Reaves
3,Dedric Lawson
4,Donta Hall
5,Jordan Bone
6,James Palmer
7,Kezie Okpala
8,Quinndary Weatherspoon
9,Nickeil Alexander-Walker
10,Matisse Thybulle
11,Dean Wade
12,RJ Barrett
13,Nassir Little
14,Coby White
15,Talen Horton-Tucker
16,Jaylen Nowell
17,Zach Hankins
18,Nicolas Claxton
19,Kenny Wooten
20,Grant Williams
21,PJ Washington
22,Jarrett Culver
23,Chris Clemons
24,Miye Oni
25,Max Strus
26,Jarron Cumberland
27,Tyler Cook
28,Carsen Edwards
29,Ty Jerome
30,Devon Dotson
31,Aubrey Dawkins
32,Romeo Langford
33,Jarrey Foster
34,Kyle Guy
35,CJ Massinburg
36,Aric Holman
37,Bol Bol
38,Jordan Poole
39,Kaleb Wesson
40,Zion Williamson
41,Goga Bitadze
42,Charles Bassey
43,Brandon Clarke
44,Joe Wieskamp
45,Amir Coffey
46,Louis King
47,Justin Robinson
48,John Konchar
49,Isaiah Roby
50,Markis McDuffie
51,Chuma Okeke
52,Ky Bowman
53,Reggie Perry
54,Admiral Schofield
55,Terence Davis
56,Kris Wilkes
57,Tyler Herro
58,Luguentz Dort
59,Kevin Porter Jr.
60,Jaxson Hayes
61,Charlie Brown
62,Sagaba Konate
63,Cody Martin
64,Tyus Battle
65,Mamadi Diakite
66,Lindell Wigginton
67,Justin Wright-Foreman
68,Obi Toppin
69,Neemias Queta
70,Ignas Brazdeikis
71,Marial Shayok
72,Jalen McDaniels
73,Jontay Porter
74,Mfiondu Kabengele
75,Jaylen Hoard
76,Kerwin Roach Jr.
77,Jalen Pickett
78,Oshae Brissett
79,Temetrius Morant
80,Phil Booth
81,Zach Norvell Jr.
82,De'Andre Hunter
83,Tacko Fall
84,Cam Reddish
85,Killian Tillie
86,Bruno Fernando
87,Andrew Nembhard
88,A.J. Lawson
89,Justin James
90,Keldon Johnson
91,Rui Hachimura
92,Naz Reid
93,Jordan Caroline
94,Quentin Grimes
95,Zylan Cheatham
96,DaQuan Jeffries
97,Shamorie Ponds
98,Juwan Morgan
99,Charles Matthews
100,Daniel Gafford
101,Cameron Johnson
102,Darius Garland
103,Ethan Happ
104,Jaylen Hands
105,Kouat Noi
106,Paul Reed
107,Jordan Nwora
108,Terance Mann
109,Dylan Windler
110,Jared Harper
111,Tremont Waters
