,playerName,School,Conf,position,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,yearsInCollege,heightInCm,weightInKg,transferredSchools
0,Robert Hite\hitero01,Miami (FL),ACC,Guard,34.0,34.0,33.1,5.9,13.1,0.451,3.4,7.0,0.485,2.5,6.1,0.41100000000000003,2.1,2.6,0.816,1.4,4.5,5.8,1.4,1.5,0.3,1.6,2.3,16.4,7.0,4.0,188.0,83.0,0.0
1,Cory Higgins\higgico01,Colorado,Big 12,Guard,38.0,37.0,32.2,5.3,12.1,0.434,4.3,9.3,0.462,0.9,2.8,0.34,4.6,5.3,0.866,0.8,2.4,3.3,2.5,1.0,0.4,2.1,2.2,16.1,5.61,4.0,196.0,81.0,0.0
2,Eddie Basden\basdeed01,Charlotte,CUSA,Guard,29.0,28.0,36.2,5.3,11.0,0.48700000000000004,4.6,9.0,0.51,0.8,2.0,0.386,3.8,5.2,0.7240000000000001,2.6,5.8,8.4,3.7,3.2,0.1,2.6,2.0,15.2,3.97,4.0,196.0,97.0,0.0
3,Vonteego Cummings\cummivo01,Pitt,Big East,Guard,26.0,30.191721132897605,35.5,5.9,14.3,0.41100000000000003,4.3,9.5,0.452,1.6,4.8,0.331,2.8,4.0,0.6990000000000001,1.7029752066115702,4.258016528925619,4.1,4.3,2.7,0.4,3.2,2.9,16.1,7.22,4.0,190.0,83.0,0.0
4,Gary Payton\paytoga02,Oregon State,Pac-10,Guard,29.0,29.0,37.8,9.9,19.7,0.504,8.1,14.3,0.569,1.8,5.4,0.33299999999999996,4.1,5.9,0.69,1.7029752066115702,4.258016528925619,4.7,8.1,3.4,0.5,3.7,3.6,25.7,6.91,4.0,193.0,81.0,0.0
5,Chris Bosh\boshch01,Georgia Tech,ACC,Forward,31.0,31.0,31.0,5.4,9.7,0.56,4.7,8.2,0.575,0.7,1.5,0.478,4.1,5.6,0.73,3.1,5.9,9.0,1.2,1.0,2.2,2.3,2.4,15.6,7.94,1.0,208.0,103.0,0.0
6,Garrett Temple\templga01,LSU,SEC,Guard,35.0,35.0,30.3,2.2,6.0,0.36200000000000004,1.3,3.3,0.405,0.8,2.7,0.309,1.9,2.3,0.805,1.3,3.2,4.5,3.8,1.7,0.7,1.9,2.8,7.1,3.27,4.0,198.0,86.0,0.0
7,James Thomas\thomaja02,Texas,Big 12,Center,33.0,18.0,15.6,1.9,4.1,0.46299999999999997,1.9,4.1,0.46299999999999997,0.0,0.0,0.34321338634857523,1.7,2.7,0.648,2.3,3.5,5.8,0.3,0.5,0.7,0.8,2.1,5.5,8.4,4.0,203.0,106.0,0.0
8,Jabari Bird\birdja01,California,Pac-12,Guard,27.0,25.0,32.0,5.2,11.8,0.44,2.8,5.2,0.536,2.4,6.6,0.365,1.6,2.0,0.764,1.0,3.7,4.7,1.0,0.7,0.2,1.9,1.9,14.3,6.34,4.0,198.0,89.0,0.0
9,Trey Burke\burketr01,Michigan,Big Ten,Guard,39.0,39.0,35.3,6.6,14.4,0.46299999999999997,4.7,9.3,0.506,1.9,5.1,0.384,3.4,4.3,0.8009999999999999,0.5,2.6,3.2,6.7,1.6,0.5,2.2,1.9,18.6,10.05,2.0,183.0,86.0,0.0
10,Travis Leslie\leslitr01,Georgia,SEC,Guard,33.0,33.0,32.2,5.4,10.9,0.49200000000000005,5.0,9.6,0.517,0.4,1.3,0.302,3.3,4.1,0.8009999999999999,3.2,4.0,7.2,2.9,1.2,0.6,2.2,1.9,14.4,6.13,3.0,193.0,92.0,0.0
11,Abdel Nader\naderab01,Iowa State,Big 12,Forward,35.0,35.0,31.1,4.6,9.6,0.478,3.1,5.6,0.5529999999999999,1.5,4.0,0.371,2.2,3.0,0.736,0.7,4.2,5.0,1.5,1.1,0.7,2.3,2.8,12.9,10.16,4.0,198.0,104.0,1.0
12,A.J. Price\priceaj01,UConn,Big East,Guard,35.0,35.0,31.8,4.9,11.9,0.408,2.5,6.1,0.413,2.3,5.8,0.402,2.7,3.7,0.721,0.6,2.9,3.5,4.7,0.7,0.0,2.7,1.3,14.7,8.57,3.0,188.0,82.0,0.0
13,Taj Gibson\gibsota01,USC,Pac-10,Forward,35.0,35.0,33.7,5.4,9.0,0.601,5.4,9.0,0.601,0.0,0.0,0.34321338634857523,3.4,5.2,0.659,3.5,5.5,9.0,1.3,1.0,2.9,2.1,2.9,14.3,9.15,3.0,206.0,102.0,0.0
14,Eric Moreland\moreler01,Oregon State,Pac-12,Forward,20.0,19.0,29.4,3.3,6.5,0.508,3.3,6.4,0.508,0.1,0.1,0.5,2.3,4.1,0.556,2.3,8.0,10.3,1.4,0.7,2.0,2.3,2.5,8.9,5.87,4.0,208.0,98.0,0.0
15,Brian Shaw\shawbr01,Saint Mary's,PCAA,Guard,41.0,26.0,27.0,2.7,6.9,0.397,4.386587537091988,8.319596199524941,0.5242610250297974,1.1069436201780416,2.9770783847980997,0.34321338634857523,1.7,2.3,0.726,1.7029752066115702,4.258016528925619,3.8,4.0,1.0,0.3,2.6,2.3,7.1,6.308021390374332,6.0,198.0,86.0,0.0
16,Stephon Marbury\marbust01,Georgia Tech,ACC,Guard,36.0,35.0,37.4,6.5,14.3,0.457,4.1,7.7,0.5329999999999999,2.4,6.6,0.37,3.4,4.6,0.738,1.7029752066115702,4.258016528925619,3.1,4.5,1.8,0.1,3.2,2.3,18.9,12.71,1.0,188.0,81.0,0.0
17,Paul Millsap\millspa01,Louisiana Tech,WAC,Forward,33.0,33.0,34.1,7.8,13.7,0.5710000000000001,7.7,13.3,0.578,0.2,0.4,0.35700000000000004,3.8,6.2,0.623,6.0,7.3,13.3,1.1,1.9,2.3,2.5,3.1,19.6,2.55,3.0,203.0,111.0,0.0
18,Evan Turner\turneev01,Ohio State,Big Ten,Guard,31.0,31.0,35.7,7.6,14.7,0.519,7.0,13.0,0.54,0.6,1.8,0.364,4.5,5.9,0.754,2.0,7.2,9.2,6.0,1.7,0.9,4.4,2.8,20.4,7.37,3.0,201.0,95.0,0.0
