,playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position
0,Tayshaun Prince\princta01,2001-02,Kentucky,SEC,32,32,33.3,6.4,13.8,.467,4.4,7.8,.564,2.0,6.0,.340,2.6,3.7,.703,2.1,4.2,6.3,1.6,1.1,1.3,2.0,1.6,17.5,,11.99,4,206,97,Forward
1,Darius Johnson-Odom\johnsda03,2011-12,Marquette,Big East,34,33,32.9,6.2,13.8,.447,3.9,7.9,.493,2.3,5.9,.385,3.7,4.9,.764,0.6,2.9,3.5,2.7,0.9,0.1,2.4,2.0,18.3,,7.50,3,188,97,Guard
2,Derrick Dial\dialde01,1997-98,Eastern Michigan,MAC,29,,,7.7,15.8,.484,4.9,9.0,.548,2.7,6.8,.399,2.9,3.7,.785,,,6.7,2.3,1.3,0.9,,,20.9,,2.67,4,193,83,Guard
3,P.J. Brown\brownpj01,1991-92,Louisiana Tech,Sun Belt,31,,30.0,4.9,10.0,.489,4.6,9.2,.504,0.3,0.8,.320,2.7,3.7,.730,,,9.9,1.7,0.9,2.4,2.4,3.1,12.7,,-0.24,4,211,102,Center
4,Jason Thompson\thompja02,2007-08,Rider,MAAC,34,34,34.6,8.1,14.4,.560,7.8,13.4,.578,0.3,1.0,.324,3.9,6.7,.581,3.4,8.8,12.1,2.7,1.1,2.7,2.9,2.9,20.4,,-3.72,4,211,113,Center
5,Richard Hamilton\hamilri01,1998-99,UConn,Big East,34,,32.1,7.3,16.4,.443,5.3,10.6,.496,2.0,5.8,.347,5.0,6.0,.833,,,4.8,2.7,1.2,0.3,2.4,1.6,21.5,,8.80,3,198,83,Guard
6,Scotty Hopson\hopsosc01,2010-11,Tennessee,SEC,32,32,29.3,5.9,13.0,.452,4.2,8.6,.491,1.7,4.4,.376,3.6,4.8,.735,0.9,2.5,3.3,1.3,0.8,0.2,2.8,2.0,17.0,,8.73,3,201,90,Guard
7,Alec Peters\peteral01,2016-17,Valparaiso,Horizon,29,29,35.1,7.5,16.1,.466,5.5,10.6,.519,2.0,5.5,.363,5.9,6.7,.887,2.6,7.6,10.1,2.2,0.8,0.4,2.4,2.2,23.0,,-1.59,4,206,102,Forward
8,John Jenkins\jenkijo01,2011-12,Vanderbilt,SEC,35,35,33.6,6.2,13.1,.474,2.4,4.4,.542,3.8,8.7,.439,3.7,4.4,.837,0.5,2.4,2.9,1.2,0.8,0.3,1.6,1.2,19.9,,8.04,3,193,97,Guard
9,Mangok Mathiang\mathima01,2016-17,Louisville,ACC,33,19,20.8,3.2,5.9,.531,3.2,5.9,.531,0.0,0.0,,1.5,2.3,.671,2.6,3.4,6.0,0.7,0.5,1.1,1.2,2.5,7.8,,11.15,4,208,99,Forward
10,DeMarre Carroll\carrode01,,Vanderbilt,,64,21,21.9,3.0,5.9,.508,2.9,5.3,.537,0.1,0.5,.229,1.1,2.0,.547,2.1,2.9,5.0,1.3,0.9,0.2,1.1,2.1,7.2,,,6,203,102,Forward
11,Vince Carter\cartevi01,1997-98,UNC,ACC,38,,,5.9,10.0,.591,4.7,7.2,.662,1.2,2.8,.411,2.6,3.9,.680,,,5.1,1.9,1.2,0.9,,,15.6,,10.38,3,201,97,Forward
12,Alan Anderson\anderal01,2004-05,Michigan State,Big Ten,33,33,26.6,4.5,8.1,.556,3.8,6.2,.611,0.8,2.0,.385,3.5,3.9,.877,1.8,3.7,5.6,1.7,1.0,0.2,1.6,2.7,13.2,,7.41,4,198,99,Forward
13,Luke Harangody\haranlu01,2009-10,Notre Dame,Big East,30,25,33.0,8.1,16.9,.481,7.3,14.2,.514,0.8,2.7,.309,4.7,5.9,.787,2.2,6.9,9.1,1.6,0.5,0.7,1.8,2.3,21.8,,6.22,4,203,111,Forward
