,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,Jared Harper,2018-19,Auburn,SEC,40,40,33.0,4.6,11.5,.399,2.1,4.9,.438,2.5,6.6,.370,3.7,4.5,.828,0.3,2.2,2.5,5.8,1.1,0.1,2.4,1.8,15.3,,10.92,3,180,79,Guard,0
1,Cameron Johnson,2018-19,UNC,ACC,36,36,29.9,5.9,11.6,.506,3.2,5.8,.556,2.7,5.8,.457,2.5,3.1,.818,1.8,3.9,5.8,2.4,1.2,0.3,1.5,1.5,16.9,,11.35,5,206,95,Guard,1
2,Justin James,2018-19,Wyoming,MWC,32,32,38.2,7.1,17.4,.409,5.6,12.1,.459,1.6,5.3,.296,6.3,8.4,.741,1.0,7.5,8.5,4.4,1.5,0.6,4.2,2.1,22.1,,0.19,4,201,86,Guard,0
3,Justin Robinson,2018-19,Virginia Tech,ACC,24,20,29.5,4.0,8.5,.473,2.3,4.4,.524,1.7,4.1,.418,3.8,4.6,.811,0.6,2.6,3.2,5.0,1.6,0.1,2.8,1.5,13.5,,7.79,4,188,88,Guard,0
4,Simisola Shittu,2018-19,Vanderbilt,SEC,32,31,26.7,4.1,8.8,.468,4.1,8.2,.496,0.0,0.6,.056,2.7,4.7,.576,1.6,5.1,6.7,1.8,0.7,0.5,2.9,2.3,10.9,,7.79,1,208,108,Forward,0
5,Kezie Okpala,2018-19,Stanford,Pac-12,29,29,32.7,5.9,12.7,.463,4.8,9.7,.493,1.1,3.0,.368,4.0,6.0,.671,1.2,4.5,5.7,2.0,1.0,0.5,2.9,2.5,16.8,,5.13,2,206,97,Forward,0
6,Nicolas Claxton,2018-19,Georgia,SEC,32,32,31.6,4.3,9.3,.460,3.7,7.3,.509,0.6,2.0,.281,3.8,6.0,.641,2.3,6.3,8.6,1.8,1.1,2.5,2.1,2.8,13.0,,8.12,2,211,99,Forward,0
7,Chris Clemons,2018-19,Campbell,Big South,33,33,36.6,9.2,20.6,.448,5.0,8.8,.569,4.2,11.8,.357,7.5,8.6,.869,0.8,4.3,5.1,2.8,1.5,0.3,2.5,1.9,30.1,,-4.39,4,175,81,Guard,0
8,Aubrey Dawkins,2018-19,UCF,AAC,33,33,33.4,5.5,11.8,.463,3.3,6.4,.514,2.2,5.5,.403,2.5,2.9,.835,1.0,4.0,5.0,1.4,1.0,0.3,1.6,2.2,15.6,,5.58,3,198,92,Guard,1
9,Bol Bol,2018-19,Oregon,Pac-12,9,9,29.8,8.2,14.7,.561,6.8,11.9,.570,1.4,2.8,.520,3.1,4.1,.757,2.1,7.4,9.6,1.0,0.8,2.7,2.0,1.7,21.0,,6.13,1,218,106,Center,0
