,playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position,transferredSchools
0,Robert Hite\hitero01,2005-06,Miami (FL),ACC,34,34.0,33.1,5.9,13.1,0.451,3.4,7.0,0.485,2.5,6.1,0.41100000000000003,2.1,2.6,0.816,1.4,4.5,5.8,1.4,1.5,0.3,1.6,2.3,16.4,,7.0,4,188,83,Guard,0
1,Cory Higgins\higgico01,2010-11,Colorado,Big 12,38,37.0,32.2,5.3,12.1,0.434,4.3,9.3,0.462,0.9,2.8,0.34,4.6,5.3,0.866,0.8,2.4,3.3,2.5,1.0,0.4,2.1,2.2,16.1,,5.61,4,196,81,Guard,0
2,Eddie Basden\basdeed01,2004-05,Charlotte,CUSA,29,28.0,36.2,5.3,11.0,0.48700000000000004,4.6,9.0,0.51,0.8,2.0,0.386,3.8,5.2,0.7240000000000001,2.6,5.8,8.4,3.7,3.2,0.1,2.6,2.0,15.2,,3.97,4,196,97,Guard,0
3,Vonteego Cummings\cummivo01,1998-99,Pitt,Big East,26,,35.5,5.9,14.3,0.41100000000000003,4.3,9.5,0.452,1.6,4.8,0.331,2.8,4.0,0.6990000000000001,,,4.1,4.3,2.7,0.4,3.2,2.9,16.1,,7.22,4,190,83,Guard,0
4,Gary Payton\paytoga02,1989-90,Oregon State,Pac-10,29,29.0,37.8,9.9,19.7,0.504,8.1,14.3,0.569,1.8,5.4,0.33299999999999996,4.1,5.9,0.69,,,4.7,8.1,3.4,0.5,3.7,3.6,25.7,,6.91,4,193,81,Guard,0
5,Chris Bosh\boshch01,2002-03,Georgia Tech,ACC,31,31.0,31.0,5.4,9.7,0.56,4.7,8.2,0.575,0.7,1.5,0.478,4.1,5.6,0.73,3.1,5.9,9.0,1.2,1.0,2.2,2.3,2.4,15.6,,7.94,1,208,103,Forward,0
6,Garrett Temple\templga01,2008-09,LSU,SEC,35,35.0,30.3,2.2,6.0,0.36200000000000004,1.3,3.3,0.405,0.8,2.7,0.309,1.9,2.3,0.805,1.3,3.2,4.5,3.8,1.7,0.7,1.9,2.8,7.1,,3.27,4,198,86,Guard,0
7,James Thomas\thomaja02,2003-04,Texas,Big 12,33,18.0,15.6,1.9,4.1,0.46299999999999997,1.9,4.1,0.46299999999999997,0.0,0.0,,1.7,2.7,0.648,2.3,3.5,5.8,0.3,0.5,0.7,0.8,2.1,5.5,,8.4,4,203,106,Center,0
8,Jabari Bird\birdja01,2016-17,California,Pac-12,27,25.0,32.0,5.2,11.8,0.44,2.8,5.2,0.536,2.4,6.6,0.365,1.6,2.0,0.764,1.0,3.7,4.7,1.0,0.7,0.2,1.9,1.9,14.3,,6.34,4,198,89,Guard,0
9,Trey Burke\burketr01,2012-13,Michigan,Big Ten,39,39.0,35.3,6.6,14.4,0.46299999999999997,4.7,9.3,0.506,1.9,5.1,0.384,3.4,4.3,0.8009999999999999,0.5,2.6,3.2,6.7,1.6,0.5,2.2,1.9,18.6,,10.05,2,183,86,Guard,0
10,Travis Leslie\leslitr01,2010-11,Georgia,SEC,33,33.0,32.2,5.4,10.9,0.49200000000000005,5.0,9.6,0.517,0.4,1.3,0.302,3.3,4.1,0.8009999999999999,3.2,4.0,7.2,2.9,1.2,0.6,2.2,1.9,14.4,,6.13,3,193,92,Guard,0
11,Abdel Nader\naderab01,2015-16,Iowa State,Big 12,35,35,31.1,4.6,9.6,.478,3.1,5.6,.553,1.5,4.0,.371,2.2,3.0,.736,0.7,4.2,5.0,1.5,1.1,0.7,2.3,2.8,12.9,,10.16,4,198,104,Forward,1
12,A.J. Price\priceaj01,2008-09,UConn,Big East,35,35.0,31.8,4.9,11.9,0.408,2.5,6.1,0.413,2.3,5.8,0.402,2.7,3.7,0.721,0.6,2.9,3.5,4.7,0.7,0.0,2.7,1.3,14.7,,8.57,3,188,82,Guard,0
13,Taj Gibson\gibsota01,2008-09,USC,Pac-10,35,35.0,33.7,5.4,9.0,0.601,5.4,9.0,0.601,0.0,0.0,,3.4,5.2,0.659,3.5,5.5,9.0,1.3,1.0,2.9,2.1,2.9,14.3,,9.15,3,206,102,Forward,0
14,Eric Moreland\moreler01,2013-14,Oregon State,Pac-12,20,19.0,29.4,3.3,6.5,0.508,3.3,6.4,0.508,0.1,0.1,0.5,2.3,4.1,0.556,2.3,8.0,10.3,1.4,0.7,2.0,2.3,2.5,8.9,,5.87,4,208,98,Forward,0
15,Brian Shaw\shawbr01,1987-88,Saint Mary's,PCAA,41,26.0,27.0,2.7,6.9,0.397,,,,,,,1.7,2.3,0.726,,,3.8,4.0,1.0,0.3,2.6,2.3,7.1,,,6,198,86,Guard,0
16,Stephon Marbury\marbust01,1995-96,Georgia Tech,ACC,36,35.0,37.4,6.5,14.3,0.457,4.1,7.7,0.5329999999999999,2.4,6.6,0.37,3.4,4.6,0.738,,,3.1,4.5,1.8,0.1,3.2,2.3,18.9,,12.71,1,188,81,Guard,0
17,Paul Millsap\millspa01,2005-06,Louisiana Tech,WAC,33,33.0,34.1,7.8,13.7,0.5710000000000001,7.7,13.3,0.578,0.2,0.4,0.35700000000000004,3.8,6.2,0.623,6.0,7.3,13.3,1.1,1.9,2.3,2.5,3.1,19.6,,2.55,3,203,111,Forward,0
18,Evan Turner\turneev01,2009-10,Ohio State,Big Ten,31,31.0,35.7,7.6,14.7,0.519,7.0,13.0,0.54,0.6,1.8,0.364,4.5,5.9,0.754,2.0,7.2,9.2,6.0,1.7,0.9,4.4,2.8,20.4,,7.37,3,201,95,Guard,0
19,Darrell Arthur\arthuda01,2007-08,Kansas,Big 12,40,39.0,24.7,5.4,9.9,0.5429999999999999,5.3,9.6,0.555,0.1,0.3,0.16699999999999998,2.0,2.9,0.7020000000000001,2.3,4.0,6.3,0.8,0.5,1.3,1.9,3.0,12.8,,8.2,2,206,102,Forward,0
20,Theo Ratliff\ratlith01,1994-95,Wyoming,WAC,28,,32.6,5.3,9.7,0.544,5.3,9.5,0.551,0.0,0.2,0.2,3.8,6.0,0.633,,,7.5,1.1,0.6,5.1,2.5,3.4,14.4,,6.89,4,208,102,Forward,0
21,Rodney Rogers\rogerro01,1992-93,Wake Forest,ACC,30,29.0,32.7,8.0,14.4,0.555,7.2,12.1,0.591,0.8,2.2,0.358,4.5,6.2,0.7170000000000001,,,7.4,2.3,1.8,0.9,3.2,2.7,21.2,,9.32,3,201,106,Forward,0
22,Norm Richardson\richano01,2000-01,Hofstra,AEC,31,30.0,34.5,5.2,12.7,0.41,3.8,8.5,0.451,1.4,4.2,0.326,4.9,6.7,0.736,1.5,4.4,6.0,2.8,1.5,0.3,3.3,2.3,16.7,,-5.47,4,196,86,Forward,0
23,J.J. Redick\redicjj01,2005-06,Duke,ACC,36,36.0,37.1,8.4,17.9,0.47,4.5,8.7,0.521,3.9,9.2,0.42100000000000004,6.1,7.1,0.863,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5,26.8,,8.77,4,193,86,Guard,0
24,Jonathan Isaac\isaacjo01,2016-17,Florida State,ACC,32,32.0,26.2,4.1,8.0,0.508,3.1,5.2,0.593,1.0,2.8,0.348,2.9,3.7,0.78,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12.0,,8.87,1,208,95,Forward,0
25,Todd Day\dayto01,1991-92,Arkansas,SEC,22,22.0,32.3,7.9,15.8,0.499,5.3,9.7,0.542,2.6,6.0,0.429,4.4,5.8,0.764,,,7.0,3.2,2.5,0.8,2.8,2.5,22.7,,8.2,4,198,85,Guard,0
26,Darren Collison\collida01,2008-09,UCLA,Pac-10,35,35.0,31.5,5.0,9.8,0.509,3.8,6.9,0.5579999999999999,1.2,3.0,0.39399999999999996,3.2,3.6,0.897,0.5,1.9,2.4,4.7,1.6,0.1,2.5,1.5,14.4,,7.18,4,185,72,Guard,0
